epoch: 0, Triplet Loss: 0.01242270916820437, Accuracy: 0.5004472266535058 
epoch: 1, Triplet Loss: 0.011593932602599588, Accuracy: 0.4878232470459186 
epoch: 2, Triplet Loss: 0.011058258395536978, Accuracy: 0.5060452775391188 
epoch: 3, Triplet Loss: 0.010381000049676414, Accuracy: 0.5319640967805694 
epoch: 4, Triplet Loss: 0.00941588126182191, Accuracy: 0.5495581857712565 
epoch: 5, Triplet Loss: 0.008971236628164311, Accuracy: 0.5595413431072369 
epoch: 6, Triplet Loss: 0.007995352609792993, Accuracy: 0.5878787143767232 
epoch: 7, Triplet Loss: 0.007499884594889248, Accuracy: 0.5961160038985496 
epoch: 8, Triplet Loss: 0.006627902172439815, Accuracy: 0.6219474225030981 
epoch: 9, Triplet Loss: 0.006059381618531455, Accuracy: 0.6348832379610634 
epoch: 10, Triplet Loss: 0.0056033250541815734, Accuracy: 0.6491637202361742 
epoch: 11, Triplet Loss: 0.005106715790140926, Accuracy: 0.6554759706381972 
epoch: 12, Triplet Loss: 0.004805519690588537, Accuracy: 0.6596836497864498 
epoch: 13, Triplet Loss: 0.004652875868076763, Accuracy: 0.6676074596844517 
epoch: 14, Triplet Loss: 0.0044232748364797046, Accuracy: 0.6710541318651095 
epoch: 15, Triplet Loss: 0.004365916337628791, Accuracy: 0.6755314499966122 
epoch: 16, Triplet Loss: 0.004088888806347209, Accuracy: 0.6819327247629658 
epoch: 17, Triplet Loss: 0.0038157274840004882, Accuracy: 0.6836338097737167 
epoch: 18, Triplet Loss: 0.0034272471046199802, Accuracy: 0.6958100214853216 
epoch: 19, Triplet Loss: 0.00327772320541617, Accuracy: 0.6963467936996167 
